+----------------------------------------------------------------------------------------------------------------------------+
| key                                                 | types                        | occurrences | percents                |
| transit.lanes.backward                              | String                       |           4 |   0.0021461415058401877 |
| CADASTRAL                                           | String                       |           3 |   0.0016096061293801407 |
| CEP_LD                                              | String                       |           3 |   0.0016096061293801407 |
| CEP_LE                                              | String                       |           3 |   0.0016096061293801407 |
| CODIGO                                              | String                       |           3 |   0.0016096061293801407 |
| COD_QUADRA                                          | String                       |           3 |   0.0016096061293801407 |
| IPP.TUTELA2                                         | String                       |           3 |   0.0016096061293801407 |
| access.access                                       | String                       |           3 |   0.0016096061293801407 |
| aerodrome                                           | Object (1),String (2)        |           3 |   0.0016096061293801407 |
| architect                                           | String                       |           3 |   0.0016096061293801407 |
| building.min_level                                  | String                       |           3 |   0.0016096061293801407 |
| building.name                                       | String                       |           3 |   0.0016096061293801407 |
| clothes                                             | String                       |           3 |   0.0016096061293801407 |
| content                                             | String                       |           3 |   0.0016096061293801407 |
| country                                             | String                       |           3 |   0.0016096061293801407 |
| diplomatic                                          | String                       |           3 |   0.0016096061293801407 |
| end_date                                            | String                       |           3 |   0.0016096061293801407 |
| escalator_dir                                       | String                       |           3 |   0.0016096061293801407 |
| ford                                                | String                       |           3 |   0.0016096061293801407 |
| generator.method                                    | String                       |           3 |   0.0016096061293801407 |
| is_in                                               | String                       |           3 |   0.0016096061293801407 |
| leaf_cycle                                          | String                       |           3 |   0.0016096061293801407 |
| left.4                                              | String                       |           3 |   0.0016096061293801407 |
| len                                                 | String                       |           3 |   0.0016096061293801407 |
| military                                            | String                       |           3 |   0.0016096061293801407 |
| note.note                                           | String                       |           3 |   0.0016096061293801407 |
| old_loc_name                                        | String                       |           3 |   0.0016096061293801407 |
| parking.condition.both.default                      | String                       |           3 |   0.0016096061293801407 |
| parking.condition.left.free                         | Object                       |           3 |   0.0016096061293801407 |
| parking.condition.left.free.time_interval           | String                       |           3 |   0.0016096061293801407 |
| parking.condition.left.left                         | String                       |           3 |   0.0016096061293801407 |
| plant                                               | Object                       |           3 |   0.0016096061293801407 |
| rating                                              | String                       |           3 |   0.0016096061293801407 |
| ruins                                               | String                       |           3 |   0.0016096061293801407 |
| seamark.small_craft_facility                        | Object                       |           3 |   0.0016096061293801407 |
| seamark.small_craft_facility.category               | String                       |           3 |   0.0016096061293801407 |
| ship.type                                           | String                       |           3 |   0.0016096061293801407 |
| stars                                               | String                       |           3 |   0.0016096061293801407 |
| takeaway                                            | String                       |           3 |   0.0016096061293801407 |
| toilets.disposal                                    | String                       |           3 |   0.0016096061293801407 |
| tower                                               | Object                       |           3 |   0.0016096061293801407 |
| tower.type                                          | String                       |           3 |   0.0016096061293801407 |
| IPP.Telefone                                        | String                       |           2 |   0.0010730707529200939 |
| abandoned                                           | Object                       |           2 |   0.0010730707529200939 |
| alt_name_1                                          | String                       |           2 |   0.0010730707529200939 |
| aquaculture                                         | String                       |           2 |   0.0010730707529200939 |
| building.material                                   | String                       |           2 |   0.0010730707529200939 |
| capacity.disabled                                   | String                       |           2 |   0.0010730707529200939 |
| capacity.parent                                     | String                       |           2 |   0.0010730707529200939 |
| cargo                                               | String                       |           2 |   0.0010730707529200939 |
| coastline                                           | Object                       |           2 |   0.0010730707529200939 |
| community_centre                                    | Object                       |           2 |   0.0010730707529200939 |
| community_centre.for                                | String                       |           2 |   0.0010730707529200939 |
| craft                                               | String                       |           2 |   0.0010730707529200939 |
| crop                                                | String                       |           2 |   0.0010730707529200939 |
| delivery                                            | String                       |           2 |   0.0010730707529200939 |
| denotation                                          | String                       |           2 |   0.0010730707529200939 |
| dispensing                                          | String                       |           2 |   0.0010730707529200939 |
| disused.amenity                                     | String                       |           2 |   0.0010730707529200939 |
| disused.tourism                                     | String                       |           2 |   0.0010730707529200939 |
| drive_through                                       | String                       |           2 |   0.0010730707529200939 |
| est_width                                           | String                       |           2 |   0.0010730707529200939 |
| fuel.diesel                                         | String                       |           2 |   0.0010730707529200939 |
| function                                            | String                       |           2 |   0.0010730707529200939 |
| generator.type                                      | String                       |           2 |   0.0010730707529200939 |
| golf.course                                         | String                       |           2 |   0.0010730707529200939 |
| golf.par                                            | String                       |           2 |   0.0010730707529200939 |
